stem,section,shape,side,key,label_value,label_page,stored_value,stored_page,run_value,run_page,run_evidence,run_writer,run_vs_label,run_vs_stored
avarda_bank_2025,debt_maturity,total-only,mechanism,total_debt,null,27,,,,,,model,null-ok,absent
avarda_bank_2025,debt_maturity,total-only,total,total_debt,null,27,,,,,,model,null-ok,absent
bergman_beving_2025,debt_maturity,bucket-rows,mechanism,total_debt,2390,120,2038,119,,,,model,missed,lost
bergman_beving_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,424,120,354,119,,,,model,missed,lost
bergman_beving_2025,debt_maturity,bucket-rows,total,total_debt,2390,120,2038,119,2038,119,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,wrong,same
bergman_beving_2025,debt_maturity,bucket-rows,total,due_within_1_year,424,120,354,119,,,,model,missed,lost
better_collective_2025,debt_maturity,total-only,mechanism,total_debt,259691,161,259946,161,,,,warning (unmapped),missed,lost
better_collective_2025,debt_maturity,total-only,total,total_debt,259691,161,259946,161,259946,161,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),wrong,same
bhg_2025,debt_maturity,total-only,mechanism,total_debt,1297.4,128,1297.4,128,,,,model,missed,lost
bhg_2025,debt_maturity,total-only,total,total_debt,1297.4,128,1297.4,128,1297.4,128,quote_on_page|value_in_quote|arith_ok|period_ok|unit_ok,model,ok,same
bico_2025,debt_maturity,total-only,mechanism,total_debt,1286.8,111,1286.8,111,1286.8,111,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement,_subtotal_pair_fill,ok,same
bico_2025,debt_maturity,total-only,mechanism,due_within_1_year,1068.5,111,1068.5,111,1068.5,111,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement,_subtotal_pair_fill,ok,same
bico_2025,debt_maturity,total-only,total,total_debt,1286.8,111,1286.8,111,1286.8,111,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_subtotal_pair_fill,ok,same
bico_2025,debt_maturity,total-only,total,due_within_1_year,1068.5,111,1068.5,111,1068.5,111,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_subtotal_pair_fill,ok,same
biogaia_2025,debt_maturity,total-only,mechanism,total_debt,0,153,0,153,,,,model,missed,lost
biogaia_2025,debt_maturity,total-only,total,total_debt,0,153,0,153,0,153,arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),ok,same
bioinvent_international_2025,debt_maturity,total-only,mechanism,total_debt,8527,66,8527,66,,,,model,missed,lost
bioinvent_international_2025,debt_maturity,total-only,mechanism,due_within_1_year,7370,66,7370,66,,,,model,missed,lost
bioinvent_international_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,1157,66,,,,,,model,missed,absent
bioinvent_international_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,66,,,,,,model,null-ok,absent
bioinvent_international_2025,debt_maturity,total-only,total,total_debt,8527,66,8527,66,8527,66,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
bioinvent_international_2025,debt_maturity,total-only,total,due_within_1_year,7370,66,7370,66,,,,model,missed,lost
bioinvent_international_2025,debt_maturity,total-only,total,due_1_to_5_years,1157,66,,,,,,model,missed,absent
bioinvent_international_2025,debt_maturity,total-only,total,due_after_5_years,null,66,,,,,,model,null-ok,absent
bonava_2025,debt_maturity,total-only,mechanism,total_debt,3639,152,3639,152,,,,model,missed,lost
bonava_2025,debt_maturity,total-only,mechanism,due_within_1_year,804,152,804,152,,,,model,missed,lost
bonava_2025,debt_maturity,total-only,total,total_debt,3639,152,3639,152,3639,152,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|unit_ok,model,ok,same
bonava_2025,debt_maturity,total-only,total,due_within_1_year,804,152,804,152,,,,model,missed,lost
boozt_2025,debt_maturity,bucket-rows,mechanism,total_debt,441,108,441,122,441,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,104,108,104,121,104,121,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,273,121,273,121,273,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,63,121,63,121,63,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,total,total_debt,441,108,441,122,441,122,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
boozt_2025,debt_maturity,bucket-rows,total,due_within_1_year,104,108,104,121,104,121,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,273,121,273,121,273,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
boozt_2025,debt_maturity,bucket-rows,total,due_after_5_years,63,121,63,121,63,121,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
bts_2025,debt_maturity,bucket-rows,mechanism,total_debt,579797,92,579797,92,,,,model,missed,lost
bts_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,77141,92,77141,92,,,,model,missed,lost
bts_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,502656,92,502656,92,,,,model,missed,lost
bts_2025,debt_maturity,bucket-rows,total,total_debt,579797,92,579797,92,579797,92,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
bts_2025,debt_maturity,bucket-rows,total,due_within_1_year,77141,92,77141,92,,,,model,missed,lost
bts_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,502656,92,502656,92,,,,model,missed,lost
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,total_debt,2873,54,2873,54,,,,model,missed,lost
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,due_within_1_year,962,54,962,54,,,,model,missed,lost
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,1911,54,,,,,,model,missed,absent
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,mechanism,due_after_5_years,0,54,,,,,,model,missed,absent
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,total,total_debt,2873,54,2873,54,2873,54,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,total,due_within_1_year,962,54,962,54,,,,model,missed,lost
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,total,due_1_to_5_years,1911,54,,,,,,model,missed,absent
byggmastare_a_j_ahlstrom_h_2025,debt_maturity,total-only,total,due_after_5_years,0,54,,,,,,model,missed,absent
byggmax_2025,debt_maturity,total-only,mechanism,total_debt,2021,99,2021,99,,,,model,missed,lost
byggmax_2025,debt_maturity,total-only,mechanism,due_within_1_year,779,99,779,99,,,,model,missed,lost
byggmax_2025,debt_maturity,total-only,total,total_debt,2021,99,2021,99,2021,99,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,model,ok,same
byggmax_2025,debt_maturity,total-only,total,due_within_1_year,779,99,779,99,,,,model,missed,lost
catella_2025,debt_maturity,total-only,mechanism,total_debt,1474,108,1474,108,,,,model,missed,lost
catella_2025,debt_maturity,total-only,mechanism,due_within_1_year,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,total,total_debt,1474,108,1474,108,1474,108,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,model,ok,same
catella_2025,debt_maturity,total-only,total,due_within_1_year,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,total,due_1_to_5_years,null,108,,,,,,model,null-ok,absent
catella_2025,debt_maturity,total-only,total,due_after_5_years,null,108,,,,,,model,null-ok,absent
cavotec_2025,debt_maturity,total-only,mechanism,total_debt,23702,71,23702,71,,,,warning (unmapped),missed,lost
cavotec_2025,debt_maturity,total-only,mechanism,due_within_1_year,3324,59,,,,,,warning (unmapped),missed,absent
cavotec_2025,debt_maturity,total-only,total,total_debt,23702,71,23702,71,23702,71,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),ok,same
cavotec_2025,debt_maturity,total-only,total,due_within_1_year,3324,59,,,,,,warning (unmapped),missed,absent
cellavision_2025,debt_maturity,bucket-rows,mechanism,total_debt,25651,92,25651,92,,,,warning (unmapped),missed,lost
cellavision_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,13680,92,13680,92,,,,warning (unmapped),missed,lost
cellavision_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,8768,92,8768,92,,,,model,missed,lost
cellavision_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,3203,92,3203,92,,,,warning (unmapped),missed,lost
cellavision_2025,debt_maturity,bucket-rows,total,total_debt,25651,92,25651,92,25651,92,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),ok,same
cellavision_2025,debt_maturity,bucket-rows,total,due_within_1_year,13680,92,13680,92,,,,warning (unmapped),missed,lost
cellavision_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,8768,92,8768,92,,,,model,missed,lost
cellavision_2025,debt_maturity,bucket-rows,total,due_after_5_years,3203,92,3203,92,,,,warning (unmapped),missed,lost
cloetta_2025,debt_maturity,bucket-column,mechanism,total_debt,1605,169,1605,169,1605,169,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
cloetta_2025,debt_maturity,bucket-column,mechanism,due_within_1_year,197,169,197,169,197,169,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
cloetta_2025,debt_maturity,bucket-column,mechanism,due_1_to_5_years,1399,169,1399,169,1399,169,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
cloetta_2025,debt_maturity,bucket-column,mechanism,due_after_5_years,9,169,9,169,9,169,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
cloetta_2025,debt_maturity,bucket-column,total,total_debt,1605,169,1605,169,1605,169,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
cloetta_2025,debt_maturity,bucket-column,total,due_within_1_year,197,169,197,169,197,169,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
cloetta_2025,debt_maturity,bucket-column,total,due_1_to_5_years,1399,169,1399,169,1399,169,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
cloetta_2025,debt_maturity,bucket-column,total,due_after_5_years,9,169,9,169,9,169,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
coor_service_management_hold_2025,debt_maturity,total-only,mechanism,total_debt,2727,157,2727,157,,,,model,missed,lost
coor_service_management_hold_2025,debt_maturity,total-only,mechanism,due_within_1_year,null,157,,,,,,model,null-ok,absent
coor_service_management_hold_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,157,,,,,,model,null-ok,absent
coor_service_management_hold_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,157,,,,,,model,null-ok,absent
coor_service_management_hold_2025,debt_maturity,total-only,total,total_debt,2727,157,2727,157,2727,157,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
coor_service_management_hold_2025,debt_maturity,total-only,total,due_within_1_year,null,157,,,,,,model,null-ok,absent
coor_service_management_hold_2025,debt_maturity,total-only,total,due_1_to_5_years,null,157,,,,,,model,null-ok,absent
coor_service_management_hold_2025,debt_maturity,total-only,total,due_after_5_years,null,157,,,,,,model,null-ok,absent
creades_2025,debt_maturity,prose-zero,mechanism,total_debt,0,61,0,61,,,,model,missed,lost
creades_2025,debt_maturity,prose-zero,mechanism,due_within_1_year,null,61,,,,,,model,null-ok,absent
creades_2025,debt_maturity,prose-zero,mechanism,due_1_to_5_years,null,61,,,,,,model,null-ok,absent
creades_2025,debt_maturity,prose-zero,mechanism,due_after_5_years,null,61,,,,,,model,null-ok,absent
creades_2025,debt_maturity,prose-zero,total,total_debt,0,61,0,61,0,61,quote_on_page|stated_zero|arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),ok,same
creades_2025,debt_maturity,prose-zero,total,due_within_1_year,null,61,,,,,,model,null-ok,absent
creades_2025,debt_maturity,prose-zero,total,due_1_to_5_years,null,61,,,,,,model,null-ok,absent
creades_2025,debt_maturity,prose-zero,total,due_after_5_years,null,61,,,,,,model,null-ok,absent
ctt_systems_2025,debt_maturity,bucket-rows,mechanism,total_debt,35.5,52,35.5,52,35.5,52,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ctt_systems_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,35.5,52,35.5,52,35.5,52,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ctt_systems_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,0,52,0,52,0,52,quote_on_page|printed_nil|arith_ok|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ctt_systems_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,0,52,0,52,0,52,quote_on_page|printed_nil|arith_ok|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ctt_systems_2025,debt_maturity,bucket-rows,total,total_debt,35.5,52,35.5,52,35.5,52,arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),ok,same
ctt_systems_2025,debt_maturity,bucket-rows,total,due_within_1_year,35.5,52,35.5,52,35.5,52,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
ctt_systems_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,0,52,0,52,0,52,quote_on_page|printed_nil|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
ctt_systems_2025,debt_maturity,bucket-rows,total,due_after_5_years,0,52,0,52,0,52,quote_on_page|printed_nil|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
duni_2025,debt_maturity,total-only,mechanism,total_debt,1498,181,1498,181,,,,model,missed,lost
duni_2025,debt_maturity,total-only,mechanism,due_within_1_year,0,181,0,181,,,,model,missed,lost
duni_2025,debt_maturity,total-only,total,total_debt,1498,181,1498,181,1498,181,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,model,ok,same
duni_2025,debt_maturity,total-only,total,due_within_1_year,0,181,0,181,,,,model,missed,lost
dustin_2025,debt_maturity,total-only,mechanism,total_debt,2538,115,,,,,,model,missed,absent
dustin_2025,debt_maturity,total-only,mechanism,due_within_1_year,63,100,,,,,,model,missed,absent
dustin_2025,debt_maturity,total-only,total,total_debt,2538,115,,,,,,model,missed,absent
dustin_2025,debt_maturity,total-only,total,due_within_1_year,63,100,,,,,,model,missed,absent
dynavox_2025,debt_maturity,total-only,mechanism,total_debt,896.2,133,,,,,,model,missed,absent
dynavox_2025,debt_maturity,total-only,total,total_debt,896.2,133,,,,,,model,missed,absent
egetis_therapeutics_2025,debt_maturity,total-only,mechanism,total_debt,76.5,74,76.5,74,,,,model,missed,lost
egetis_therapeutics_2025,debt_maturity,total-only,mechanism,due_within_1_year,31.5,74,31.5,74,,,,model,missed,lost
egetis_therapeutics_2025,debt_maturity,total-only,total,total_debt,76.5,74,76.5,74,76.5,74,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
egetis_therapeutics_2025,debt_maturity,total-only,total,due_within_1_year,31.5,74,31.5,74,,,,model,missed,lost
elanders_2025,debt_maturity,total-only,mechanism,total_debt,4620,143,,,,,,model,missed,absent
elanders_2025,debt_maturity,total-only,mechanism,due_within_1_year,228,117,,,,,,model,missed,absent
elanders_2025,debt_maturity,total-only,total,total_debt,4620,143,,,,,,model,missed,absent
elanders_2025,debt_maturity,total-only,total,due_within_1_year,228,117,,,,,,model,missed,absent
enea_2025,debt_maturity,bucket-rows,mechanism,total_debt,305555,76,305555,76,305555,76,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement,_subtotal_pair_fill,ok,same
enea_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,136403,76,136403,76,136403,76,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement,_subtotal_pair_fill,ok,same
enea_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,169152,76,169152,76,,,,model,missed,lost
enea_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,null,76,,,,,,model,null-ok,absent
enea_2025,debt_maturity,bucket-rows,total,total_debt,305555,76,305555,76,136403,76,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),wrong,different
enea_2025,debt_maturity,bucket-rows,total,due_within_1_year,136403,76,136403,76,,,,model,missed,lost
enea_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,169152,76,169152,76,,,,model,missed,lost
enea_2025,debt_maturity,bucket-rows,total,due_after_5_years,null,76,,,,,,model,null-ok,absent
enity_holding_2025,debt_maturity,total-only,mechanism,total_debt,null,54,,,,,,model,null-ok,absent
enity_holding_2025,debt_maturity,total-only,total,total_debt,null,54,,,,,,model,null-ok,absent
ependion_2025,debt_maturity,bucket-column,mechanism,total_debt,583531,155,583531,155,583531,155,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ependion_2025,debt_maturity,bucket-column,mechanism,due_within_1_year,167546,155,167546,155,167546,155,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ependion_2025,debt_maturity,bucket-column,mechanism,due_1_to_5_years,415984,155,415984,155,415984,155,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement,_fill_bucket_columns,ok,same
ependion_2025,debt_maturity,bucket-column,mechanism,due_after_5_years,null,155,,,,,,model,null-ok,absent
ependion_2025,debt_maturity,bucket-column,total,total_debt,583531,155,583531,155,583531,155,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
ependion_2025,debt_maturity,bucket-column,total,due_within_1_year,167546,155,167546,155,167546,155,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
ependion_2025,debt_maturity,bucket-column,total,due_1_to_5_years,415984,155,415984,155,415984,155,quote_on_page|value_derived|arith_ok|label_known|period_ok|page_is_statement|unit_ok,_fill_bucket_columns,ok,same
ependion_2025,debt_maturity,bucket-column,total,due_after_5_years,null,155,,,,,,model,null-ok,absent
ericsson_2025,debt_maturity,total-only,mechanism,total_debt,32703,65,32703,65,32703,65,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement,statement-spread fill,ok,same
ericsson_2025,debt_maturity,total-only,mechanism,due_within_1_year,3538,65,3538,65,,,,model,missed,lost
ericsson_2025,debt_maturity,total-only,total,total_debt,32703,65,32703,65,32703,65,quote_on_page|value_in_quote|arith_ok|label_known|period_ok|page_is_statement|unit_ok,warning (unmapped),ok,same
ericsson_2025,debt_maturity,total-only,total,due_within_1_year,3538,65,3538,65,,,,model,missed,lost
ework_2025,debt_maturity,bucket-column,mechanism,total_debt,156410,70,156410,71,,,,model,missed,lost
ework_2025,debt_maturity,bucket-column,mechanism,due_within_1_year,156409,70,156409,70,,,,model,missed,lost
ework_2025,debt_maturity,bucket-column,mechanism,due_1_to_5_years,0,70,0,70,,,,model,missed,lost
ework_2025,debt_maturity,bucket-column,total,total_debt,156410,70,156410,71,156410,71,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
ework_2025,debt_maturity,bucket-column,total,due_within_1_year,156409,70,156409,70,,,,model,missed,lost
ework_2025,debt_maturity,bucket-column,total,due_1_to_5_years,0,70,0,70,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,mechanism,total_debt,3449.5,140,3449.5,140,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,56,140,56,140,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,3390,140,3390,140,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,3.5,140,3.5,140,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,total,total_debt,3449.5,140,3449.5,140,6.3,140,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,warning (unmapped),wrong,different
fagerhult_2025,debt_maturity,bucket-rows,total,due_within_1_year,56,140,56,140,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,3390,140,3390,140,,,,model,missed,lost
fagerhult_2025,debt_maturity,bucket-rows,total,due_after_5_years,3.5,140,3.5,140,,,,model,missed,lost
fasadgruppen_2025,debt_maturity,bucket-rows,mechanism,total_debt,2194.0,136,2194,136,,,,model,missed,lost
fasadgruppen_2025,debt_maturity,bucket-rows,mechanism,due_within_1_year,159.5,136,159.5,136,,,,model,missed,lost
fasadgruppen_2025,debt_maturity,bucket-rows,mechanism,due_1_to_5_years,2034.5,136,2034.5,136,,,,model,missed,lost
fasadgruppen_2025,debt_maturity,bucket-rows,mechanism,due_after_5_years,null,136,,,,,,model,null-ok,absent
fasadgruppen_2025,debt_maturity,bucket-rows,total,total_debt,2194.0,136,2194,136,2194,136,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
fasadgruppen_2025,debt_maturity,bucket-rows,total,due_within_1_year,159.5,136,159.5,136,,,,model,missed,lost
fasadgruppen_2025,debt_maturity,bucket-rows,total,due_1_to_5_years,2034.5,136,2034.5,136,,,,model,missed,lost
fasadgruppen_2025,debt_maturity,bucket-rows,total,due_after_5_years,null,136,,,,,,model,null-ok,absent
flat_capital_2025,debt_maturity,total-only,mechanism,total_debt,0,33,0,18,,,,model,missed,lost
flat_capital_2025,debt_maturity,total-only,mechanism,due_within_1_year,null,33,,,,,,model,null-ok,absent
flat_capital_2025,debt_maturity,total-only,mechanism,due_1_to_5_years,null,33,,,,,,model,null-ok,absent
flat_capital_2025,debt_maturity,total-only,mechanism,due_after_5_years,null,33,,,,,,model,null-ok,absent
flat_capital_2025,debt_maturity,total-only,total,total_debt,0,33,0,18,0,18,quote_on_page|value_in_quote|arith_ok|period_ok|page_is_statement|unit_ok,model,ok,same
flat_capital_2025,debt_maturity,total-only,total,due_within_1_year,null,33,,,,,,model,null-ok,absent
flat_capital_2025,debt_maturity,total-only,total,due_1_to_5_years,null,33,,,,,,model,null-ok,absent
